Number Energy PSNR
689 10.2859974 15.9587
690 9.8480128 20.1233
691 13.0586334 14.2063
692 14.3815144 11.0084
693 12.654053 10.183
694 12.131576 11.9878
695 11.6295858 13.4119
696 11.2649764 15.7417
697 10.682939 13.6803
698 10.338017 13.3184
699 10.0127304 14.3824
700 9.9020362 15.4104
701 13.232655 18.7494
702 13.0922302 12.6536
703 12.6915622 11.7947
704 12.6682498 12.921
705 11.9241536 15.31
706 12.5457132 19.8943
707 10.9798086 15.4282
708 10.5706216 13.2642
709 10.2484526 14.9283
710 9.7867376 16.2547
711 13.2032526 22.6755
712 12.9812384 13.2913
713 12.7046866 12.2246
714 12.3743336 12.9308
715 12.2080742 15.0666
716 11.3831024 19.8028
717 10.9449852 15.0104
718 10.6135126 13.2099
719 10.1306448 15.0481
720 9.7628644 16.8899
721 13.4585828 19.3275
722 13.3748014 12.7683
723 12.9859476 12.0792
724 12.4531492 11.9166
725 12.2327932 13.4571
726 11.5119704 16.2239
727 10.986156 13.2503
728 10.7282608 12.5233
729 10.4434906 14.1305
730 10.5933268 15.6233
731 13.7587784 18.8855
732 13.2204556 12.4621
733 12.8229784 11.9479
734 12.5903104 12.9261
735 11.9057866 15.3172
736 12.2808564 19.9064
737 11.0124194 15.4567
738 10.6699156 13.276
739 10.2915804 14.9135
740 9.8556476 16.3017
741 13.2227316 14.1906
742 12.9974134 11.0899
743 12.6012218 10.6647
744 11.9821528 12.0592
745 11.6937284 13.5691
746 11.0911092 15.9145
747 10.5773382 13.8523
748 10.3083698 13.0169
749 10.0853914 13.9571
750 9.7546176 14.8266
751 14.2009894 18.1845
752 13.8684444 12.6504
753 13.249827 11.6052
754 12.8477562 13.1419
755 12.5618348 15.5875
756 12.3196958 21.1392
757 11.9846566 15.5479
758 11.2178928 14.4623
759 11.018748 16.2154
760 10.3081924 18.54
761 13.5564558 21.1536
762 13.6189852 13.2876
763 13.2134354 12.1422
764 12.8949114 13.0563
765 12.4277486 15.6851
766 11.8328606 22.2439
767 11.394321 15.6348
768 11.2548948 14.7264
769 10.8995916 16.5186
770 10.125112 20.3497
771 14.8100368 18.3258
772 13.854941 12.796
773 13.654522 11.9625
774 13.1557872 12.1232
775 12.3268772 14.0343
776 12.1668212 17.657
777 11.610774 13.8924
778 11.1788664 13.9201
779 10.904533 15.1575
780 10.3447886 16.7836
781 13.6780048 17.6192
782 13.431906 12.514
783 13.2702676 11.7141
784 12.9682674 13.1423
785 12.4593446 15.5787
786 12.0686438 21.1406
787 11.4934826 15.5291
788 11.2419416 14.6119
789 11.0110544 16.2002
790 10.309072 18.4789
791 13.3720446 13.8611
792 14.0762044 11.0996
793 12.9904446 10.2809
794 12.4876294 12.005
795 12.1054576 13.4553
796 11.6800294 15.8012
797 11.3230976 13.8663
798 10.791944 13.3115
799 10.4439482 14.3321
800 10.2634502 15.3569
801 8.0737128 18.7159
802 8.181572 12.5811
803 8.0311772 11.5847
804 7.86342 13.1168
805 7.4244274 15.4561
806 7.2132738 21.7081
807 7.117006 15.6244
808 7.2151486 14.4949
809 7.221416 15.9908
810 7.086912 20.0214
811 7.9601376 22.7344
812 7.9939482 13.2224
813 7.9385998 11.9706
814 7.6646024 13.1528
815 7.4589256 15.8041
816 7.4245086 23.8335
817 7.2381468 15.7785
818 7.1342908 14.2477
819 7.1016492 16.5975
820 6.821008 21.1673
821 8.9720376 19.4339
822 8.495969 12.618
823 8.0428646 11.9075
824 7.810989 12.1069
825 7.620106 13.9437
826 7.2916596 17.7307
827 7.078955 13.7831
828 7.089431 13.5478
829 7.1508502 14.6909
830 7.1045812 17.6518
831 8.3169544 18.8534
832 8.2019286 12.2776
833 8.0690548 11.605
834 7.9861636 13.1141
835 7.5443674 15.4616
836 7.2276348 21.5945
837 7.2720582 15.6251
838 7.0617808 14.4893
839 7.0993066 15.9665
840 6.7061018 19.9624
841 7.9885394 14.2329
842 8.0416442 11.0219
843 8.0249874 10.1861
844 7.6370962 11.6933
845 7.330998 13.0863
846 7.1374394 15.3194
847 7.0558294 13.2739
848 7.068702 13.3573
849 7.1057584 14.4271
850 6.5410976 15.3814
851 8.083385 18.7026
852 8.3400738 12.5757
853 8.6481138 11.5703
854 8.023292 13.1225
855 7.4782482 15.463
856 7.192425 21.5833
857 7.098665 15.6114
858 7.1707108 14.4915
859 7.128254 16.0157
860 7.0757378 20.1109
861 8.0751132 22.7212
862 8.109509 13.2234
863 7.9679142 12.1269
864 7.8760704 13.1473
865 7.4967142 15.7985
866 7.3660964 23.8257
867 7.2263184 15.8215
868 7.1252762 14.2298
869 7.1537044 16.6182
870 7.0833662 21.2393
871 8.1599944 19.4496
872 8.0694948 12.7655
873 8.1859054 11.9125
874 7.7895154 12.0881
875 7.4831434 13.9665
876 7.2486162 17.7444
877 7.1967172 13.7962
878 7.1089432 13.56
879 7.2666324 14.7274
880 7.1724732 16.4805
881 8.2624408 18.9293
882 8.4021572 12.279
883 8.1136228 11.6183
884 7.754204 13.1218
885 7.5647124 15.4613
886 7.3477926 21.6306
887 7.3358372 15.6278
888 7.7129346 14.5004
889 7.3567914 15.9861
890 7.2964592 19.9377
891 8.0280398 14.1842
892 8.1106012 11.0173
893 7.8248938 10.221
894 7.5647244 11.7209
895 7.3214868 13.0067
896 7.2966354 15.3233
897 7.2219404 13.2672
898 7.1949794 13.3467
899 7.0633522 14.423
900 6.613305 15.3907
901 8.0144834 18.7213
902 8.0654862 12.6766
903 8.1428948 11.8076
904 7.7211188 13.134
905 7.511797 15.6415
906 7.283615 21.8659
907 7.1361196 15.8374
908 7.1650812 13.3363
909 7.14688 14.9265
910 6.560329 16.189
911 8.2136264 22.7707
912 8.1579096 13.3225
913 8.0079478 12.2074
914 7.6630914 13.121
915 7.5757158 15.6149
916 7.2972972 22.7038
917 7.0746148 15.6195
918 7.1034852 13.6833
919 7.4153302 15.0967
920 6.4394196 15.8516
921 8.7448914 19.5079
922 8.1385352 12.781
923 7.9760444 12.1104
924 7.844373 11.8729
925 7.589275 13.7211
926 7.2038336 17.1459
927 7.2178652 13.5874
928 7.0848216 12.5799
929 7.1787232 14.1615
930 7.1545182 15.655
931 8.3397684 18.9291
932 8.2288704 12.5458
933 8.121603 12.0325
934 7.905665 13.1396
